seed,examples,flipped_examples,epochs,auroc,precision_at_20pct,random_precision_baseline,mean_aum_flipped,mean_aum_clean,duration_s
101,600,120,20,1.0,1.0,0.2,-1.7365122790044796,2.033254502599981,0.34703080000326736
202,600,120,20,1.0,1.0,0.2,-1.8711052153492347,1.9810811122460292,0.44656319999921834
303,600,120,20,0.9997743055555556,0.9833333333333333,0.2,-1.737254837875565,1.7977708923327738,0.4276010999965365
404,600,120,20,0.9999652777777778,0.9916666666666667,0.2,-1.7110660524247214,1.901250298562227,0.5132496999940486
505,600,120,20,1.0,1.0,0.2,-1.7590488095224524,1.9181243683079567,0.42829689999780385
