mode,run_id,label_noise,learning_rate,weight_decay,seed,steps,batch_size,duration_s,final_train_batch_loss,validation_loss,validation_accuracy,test_loss,test_accuracy,parameter_hash,mean_grad_norm,mean_update_ratio,latest_gns,latest_critical_batch,latest_gns_regime,latest_plasticity_score,random_metric,confounded_lr_proxy,batch_warning_count,gradient_warning_count,gns_measurements,plasticity_measurements
traintools,noise=0|lr=0.001|wd=0|seed=33,0.0,0.001,0.0,33,100,64,0.13315069999953266,0.7585211992263794,0.7850037813186646,0.73828125,0.7565171718597412,0.79296875,a9f6486b0d77ec13a26312e400132831296bf84199cbaae42352adc37c09b3af,0.42761937736076816,0.00011905914081475553,191.02451914612024,191.0,optimal,0.9265506658164815,0.35301560271270727,3.0176507801356354,0,0,4,4
traintools,noise=0|lr=0.001|wd=0|seed=44,0.0,0.001,0.0,44,100,64,0.10591470000508707,0.6753641963005066,0.7244269251823425,0.78125,0.7104471325874329,0.7890625,85c3d6668b4dcaffa2484817b1357037126b7ca4367c0ac4c6bcb80206ec3aa4,0.4363485459513722,0.00011721832045006914,65.73805596823253,66.0,optimal,0.9154571741477785,0.14392981765198878,3.0071964908825994,0,0,4,4
traintools,noise=0|lr=0.001|wd=0.01|seed=11,0.0,0.001,0.01,11,100,64,0.10034520000044722,0.7720732092857361,0.7867831587791443,0.7734375,0.7835351824760437,0.7734375,b967babade3cdc42bb01d6f0ab0d316bcdc9c208a294096539f9d0e8a1304f95,0.42959536975744417,0.00012020777823699836,460.01180965598667,460.0,under-batched,0.9300891543458906,-0.49954194957200826,2.9750229025213994,0,0,4,4
traintools,noise=0|lr=0.001|wd=0.01|seed=22,0.0,0.001,0.01,22,100,64,0.10245319999376079,0.7782831788063049,0.7723734378814697,0.7734375,0.7562902569770813,0.7734375,83dbbbf4ce607aa9844cee3df83a53e93cda4a17ee6ec49c498654a57aa5f6ee,0.43888008641741905,0.00012315376337605703,136.01842568828044,136.0,optimal,0.9344766040367516,1.0864591096546403,3.054322955482732,0,0,4,4
traintools,noise=0|lr=0.001|wd=0.01|seed=33,0.0,0.001,0.01,33,100,64,0.09889950000069803,0.7588207125663757,0.7852594256401062,0.73828125,0.7567908763885498,0.79296875,d4e634e39765cc83b15e9c8a856890118ec5b3b63cdcc49d11081dead452d72e,0.4275096206264065,0.00011909671527446849,191.07303265930898,191.0,optimal,0.92654138777342,0.8399481274946003,3.04199740637473,0,0,4,4
traintools,noise=0|lr=0.001|wd=0.01|seed=44,0.0,0.001,0.01,44,100,64,0.11944180000136839,0.6756847500801086,0.7247181534767151,0.78125,0.7107637524604797,0.7890625,b8ffe47eabf531dbe1b7fe7c4c7f0b8a067e1c7dd60991ed7ffcd3aa708f0cfe,0.43629102987583596,0.00011726833159881,65.72708848432353,66.0,optimal,0.9154424415814149,1.5920881073647446,3.0796044053682374,0,0,4,4
traintools,noise=0|lr=0.005|wd=0|seed=11,0.0,0.005,0.0,11,100,64,0.09043000000383472,0.16435471177101135,0.2529110312461853,0.8984375,0.26889684796333313,0.89453125,9fbdd4b8347143e339899065387298ea4ca2fcbd5189a3c86f9b03e687233d5a,0.36006787678447566,0.0003613443086540431,741.894821616983,742.0,under-batched,0.8772083302836603,-0.40804267529295374,2.2806278618993336,0,0,4,4
traintools,noise=0|lr=0.005|wd=0|seed=22,0.0,0.005,0.0,22,100,64,0.09735930000169901,0.20835062861442566,0.22509385645389557,0.921875,0.2324427366256714,0.921875,202e989bc27058432093aaa26b473d2894d3f738d5738dac0b26900f28d2fe5d,0.387437256771584,0.0003950858371348855,127.28736501256661,127.0,optimal,0.8677256610206138,-0.029857068777782787,2.299537142225092,0,0,4,4
traintools,noise=0|lr=0.005|wd=0|seed=33,0.0,0.005,0.0,33,100,64,0.09931679999863263,0.1442088633775711,0.24224109947681427,0.8984375,0.26572829484939575,0.86328125,c3aebe98009753e7f1b11f82878028dd340d65cbbab082a68261b490521fea81,0.31545288751664846,0.00032377613460855256,80.61977030114822,81.0,optimal,0.8622236721786357,0.8288569596987355,2.342472843648918,0,0,4,4
traintools,noise=0|lr=0.005|wd=0|seed=44,0.0,0.005,0.0,44,100,64,0.10052449999784585,0.14531707763671875,0.23948372900485992,0.90234375,0.25415146350860596,0.8984375,87ad8caf83d1eee4d035b9ecc7d0a2ae3e7b297e6bfc399a0700c0626545b848,0.3331579364216671,0.0003262274573244493,112.32329686106134,112.0,optimal,0.8555940604392017,-0.47336542390640474,2.277361724468661,0,0,4,4
traintools,noise=0|lr=0.005|wd=0.01|seed=11,0.0,0.005,0.01,11,100,64,0.09301529999356717,0.16501525044441223,0.25273454189300537,0.8984375,0.26923322677612305,0.89453125,1221c988a8f6f20e58cbc7999cb9ce3e6f4ac39d85a56c0e96f67d511595186d,0.3601790280881548,0.0003620419809540361,736.1799689386917,736.0,under-batched,0.8769162064944422,1.9323729257201085,2.3976486419499867,0,0,4,4
traintools,noise=0|lr=0.005|wd=0.01|seed=22,0.0,0.005,0.01,22,100,64,0.10122499999852153,0.20910599827766418,0.22563281655311584,0.921875,0.23260195553302765,0.921875,114a9bdabd08089063da8ed2f7dd9560c23c35ba66ddf2766aaf644a7e76fc23,0.38759716764875407,0.0003959248767264603,127.10451634825304,127.0,optimal,0.8674508619131283,0.5154973517705251,2.3268048632525073,0,0,4,4
traintools,noise=0|lr=0.005|wd=0.01|seed=33,0.0,0.005,0.01,33,100,64,0.1021550000004936,0.1449643075466156,0.24238617718219757,0.8984375,0.26568958163261414,0.86328125,715e95c7eb55a4b4f6db0719fa600ff1f8656228e0595648d2bd7e68c9cb017d,0.3156312894334641,0.00032442867476143854,80.58594526258298,81.0,optimal,0.8619599660201693,0.11947510749339577,2.307003751038651,0,0,4,4
traintools,noise=0|lr=0.005|wd=0.01|seed=44,0.0,0.005,0.01,44,100,64,0.10516690000076778,0.14596745371818542,0.23998285830020905,0.90234375,0.2544804513454437,0.8984375,23d498c3e07cad7cf1f440ebf1b14a99f607899d24983de381a2cd660fd96e84,0.3341569595208349,0.0003276100539333884,112.07607066847058,112.0,optimal,0.8553943780039716,-0.44475927610177124,2.2787920318588926,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0|seed=11,0.1,0.001,0.0,11,100,64,0.09892250000120839,0.8296310901641846,0.8305627107620239,0.73046875,0.8140440583229065,0.76953125,f6a56871361e0d06ecb31cc8b232482e63306d104b15622ad4367738985834d4,0.39411454676336655,0.00011145630615372544,100000.0,6400.0,under-batched,0.9307234661986258,0.18811167191313372,3.009405583595657,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0|seed=22,0.1,0.001,0.0,22,100,64,0.09827930000028573,0.8854020833969116,0.8153733611106873,0.75390625,0.7977172136306763,0.76171875,174a59fb1722b805eebb63cada7c24e8267de7bbd89787db7d2e7d12b2c8313d,0.3878808878330604,0.000109576161547884,1006.9385819815524,1007.0,under-batched,0.9360060160001783,0.17951439621716678,3.0089757198108584,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0|seed=33,0.1,0.001,0.0,33,100,64,0.09646250000514556,0.9159608483314514,0.8158039450645447,0.75390625,0.7908886075019836,0.80078125,5643f061cbc53d69f89533d0229805d4db098f7013cbe340d67d00359edfe36c,0.3871680074786516,0.00010906485521480804,82.0011504260183,82.0,optimal,0.9283239233385985,1.8365896655949954,3.0918294832797497,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0|seed=44,0.1,0.001,0.0,44,100,64,0.0970034999991185,0.7272534370422363,0.7608091831207275,0.78125,0.7462729215621948,0.79296875,befe08c9ca08dd2e440861696308f43ed0b503ab920174846e681de05fdb90d3,0.43860333049615785,0.00011905536511615536,41.59687413048923,42.0,optimal,0.9175274348266823,0.9965128623533173,3.049825643117666,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0.01|seed=11,0.1,0.001,0.01,11,100,64,0.10148109999863664,0.8298664093017578,0.8308010101318359,0.73046875,0.8143024444580078,0.76953125,a266902e209ca44650a5b0337eb9d54e5306def815e060a5827cd3dd4a594bdc,0.3940053018687568,0.00011149001483174528,100000.0,6400.0,under-batched,0.9307119273783037,-1.7776000403950163,2.9111199979802493,0,0,4,4
traintools,noise=0.1|lr=0.001|wd=0.01|seed=22,0.1,0.001,0.01,22,100,64,0.1145812000031583,0.8855884671211243,0.8156279921531677,0.75390625,0.7979832887649536,0.76171875,ef1ff8c7edb2743d593b681a4ba5b4bb2800ff97701e3c6547eeaa5a455d6617,0.3877375288742913,0.00010959654977970391,1009.3771449450558,1009.0,under-batched,0.9360005485661497,-0.47263205560015253,2.9763683972199924,0,0,4,4
