trial,diagnostic,condition,expected_warning,detected_warning,warning_count,warnings
7,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
7,gradient_health,clean_gradient,False,False,0,
7,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.17e+04) | network.0.weight update/weight ratio is high (6.60e+00) | network.0.bias gradient is very large (norm=3.94e+03) | network.0.bias update/weight ratio is high (5.33e+00) | network.2.weight gradient is very large (norm=2.64e+04) | network.2.weight update/weight ratio is high (2.56e+01) | network.2.bias gradient is very large (norm=8.23e+03) | network.2.bias update/weight ratio is high (4.87e+01)
8,batch_inspector,clean_batch,False,False,0,
8,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
8,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
8,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
8,gradient_health,clean_gradient,False,False,0,
8,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.26e+04) | network.0.weight update/weight ratio is high (6.84e+00) | network.0.bias gradient is very large (norm=3e+03) | network.0.bias update/weight ratio is high (3.88e+00) | network.2.weight gradient is very large (norm=2.73e+04) | network.2.weight update/weight ratio is high (2.69e+01) | network.2.bias gradient is very large (norm=6.08e+03) | network.2.bias update/weight ratio is high (3.31e+01)
9,batch_inspector,clean_batch,False,False,0,
9,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
9,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
9,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
9,gradient_health,clean_gradient,False,False,0,
9,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.83e+04) | network.0.weight update/weight ratio is high (5.57e+00) | network.0.bias gradient is very large (norm=3.91e+03) | network.0.bias update/weight ratio is high (5.56e+00) | network.2.weight gradient is very large (norm=2.48e+04) | network.2.weight update/weight ratio is high (2.46e+01) | network.2.bias gradient is very large (norm=8.39e+03) | network.2.bias update/weight ratio is high (1.23e+02)
10,batch_inspector,clean_batch,False,False,0,
10,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
10,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
10,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
10,gradient_health,clean_gradient,False,False,0,
10,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.05e+04) | network.0.weight update/weight ratio is high (6.23e+00) | network.0.bias gradient is very large (norm=5.32e+03) | network.0.bias update/weight ratio is high (6.70e+00) | network.2.weight gradient is very large (norm=2.4e+04) | network.2.weight update/weight ratio is high (2.27e+01) | network.2.bias gradient is very large (norm=1.15e+04) | network.2.bias update/weight ratio is high (6.78e+01)
11,batch_inspector,clean_batch,False,False,0,
11,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
11,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
11,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
11,gradient_health,clean_gradient,False,False,0,
