group,metric,target,controls,n,raw_r,raw_p,partial_r,partial_p,delta_partial_minus_raw,classification,raw_ci_low,raw_ci_high,partial_ci_low,partial_ci_high,delta_ci_low,delta_ci_high
pooled,validation_loss,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.9452667336686158,5.2224820002555244e-24,-0.24048442054101007,0.11584725193540309,0.7047823131276058,survives,-0.9799464776127484,-0.8695258280207664,-0.708330720423541,0.18525725429444015,0.26236002097511174,1.0986432049114667
pooled,mean_grad_norm,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.05440814216561925,0.713405242444925,-0.1195493075073938,0.439552327605852,-0.06514116534177455,weak-or-mixed,-0.3749859545782151,0.2702953461482578,-0.3808874599987464,0.26815558972323433,-0.43605146244466314,0.34286609463653334
pooled,mean_update_ratio,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,0.6706713947867892,1.8331567996949657e-07,-0.2066207367786179,0.1784044507106547,-0.8772921315654071,reverse-inversion,0.45416970845458093,0.8041989444807761,-0.4867043640886741,0.1923423614610805,-1.0689673434192442,-0.584780461075165
pooled,latest_gns,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.2234456865755157,0.12684927965113796,-0.33151075374206307,0.02793010094003412,-0.10806506716654737,survives,-0.47319023662111376,0.05636087532201024,-0.5455992376925483,-0.03310453128331396,-0.421033895565937,0.25738043234660307
pooled,latest_plasticity_score,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.9272212759273714,3.0135732709726995e-21,-0.4365416474248728,0.0030512560435619956,0.4906796285024986,survives,-0.9636700761022772,-0.8400060627535052,-0.7067795087291109,-0.12402063863036022,0.24673103959310277,0.7639556582303738
pooled,random_metric,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.013914569824573954,0.9252153724787859,0.29689576425403646,0.05033959983147498,0.3108103340786104,hidden-after-control,-0.27728221128198904,0.25056749488675784,-0.009700100144195912,0.5293280359000039,-0.03580760676602555,0.576238178278641
pooled,confounded_lr_proxy,test_accuracy,"learning_rate,weight_decay,label_noise,seed",48,-0.639635381623384,9.869310686215683e-07,0.2872885561748701,0.05864130135017242,0.9269239377982541,sign-inversion,-0.7475630010927095,-0.4886774532219501,-0.05009167031899617,0.5353140868937515,0.6094260005806547,1.121842018785746
