critical_batch,epoch,gns,gns_regime,guard_ci_high,guard_ci_low,guard_predicted_improvement,guard_should_stop,learning_rate,mean_dead_fraction,mean_feature_erank,mean_grad_norm,plasticity_score,run_id,seconds,train_accuracy,train_loss,val_accuracy,val_loss
,1,,,,,,,0.04980286753286195,,,1.45212541943924,,development_base__cifar10__wrn28_2__s11__clean__plain,16.144880449,0.4278888888888889,1.531354283311632,0.4962,1.4171336364746094
,2,,,,,,,0.04921457902821578,,,1.4150220115076413,,development_base__cifar10__wrn28_2__s11__clean__plain,14.309851544999987,0.6202444444444445,1.06067952931722,0.669,0.9430568389892579
,3,,,,,,,0.04824441214720629,,,1.4137740201232107,,development_base__cifar10__wrn28_2__s11__clean__plain,14.563476051999999,0.6914666666666667,0.8703987881130643,0.7098,0.8424956420898437
,4,,,,,,,0.046907667001096595,,,1.4140566313131289,,development_base__cifar10__wrn28_2__s11__clean__plain,14.519165919000017,0.7451333333333333,0.7263129600524902,0.6996,0.87740185546875
,5,,,,,,,0.0452254248593737,,,1.4073448550294747,,development_base__cifar10__wrn28_2__s11__clean__plain,14.489656351000008,0.7797555555555555,0.6393766359117296,0.6652,1.1058524627685546
,6,,,,,,,0.0432242156855353,,,1.4097523655403743,,development_base__cifar10__wrn28_2__s11__clean__plain,14.484014450000018,0.8011111111111111,0.5756794659932455,0.6914,0.9512590637207031
,7,,,,,,,0.04093559974371725,,,1.4334788176823745,,development_base__cifar10__wrn28_2__s11__clean__plain,14.39013291599997,0.8159777777777778,0.5272327901204427,0.7734,0.6727301635742188
,8,,,,,,,0.038395669874474916,,,1.4703962112014943,,development_base__cifar10__wrn28_2__s11__clean__plain,14.199288643999978,0.8331333333333333,0.48617401750352646,0.8164,0.5495402633666993
,9,,,,,,,0.03564448228912682,,,1.4853223819624295,,development_base__cifar10__wrn28_2__s11__clean__plain,14.20680201099998,0.8448666666666667,0.4553414453294542,0.8388,0.47342220001220703
,10,,,,,,,0.032725424859373686,,,1.5387570148503238,,development_base__cifar10__wrn28_2__s11__clean__plain,14.168074413,0.8512888888888889,0.4227125334845649,0.8462,0.4583600952148438
,11,,,,,,,0.02968453286464312,,,1.554198632524772,,development_base__cifar10__wrn28_2__s11__clean__plain,14.18650421999996,0.8668888888888889,0.38669812719557023,0.8274,0.5163447570800781
,12,,,,,,,0.02656976298823284,,,1.6051295795901255,,development_base__cifar10__wrn28_2__s11__clean__plain,14.160172541999998,0.8746444444444444,0.36269341553582085,0.8486,0.45790458984375
,13,,,,,,,0.02343023701176717,,,1.6866411349990151,,development_base__cifar10__wrn28_2__s11__clean__plain,14.37812041799998,0.8832,0.3364546070098877,0.8704,0.37282194976806643
,14,,,,,,,0.02031546713535689,,,1.6947428875348785,,development_base__cifar10__wrn28_2__s11__clean__plain,14.136296763000018,0.8939111111111111,0.30957132568359375,0.864,0.4006535400390625
,15,,,,,,,0.017274575140626323,,,1.736301470378583,,development_base__cifar10__wrn28_2__s11__clean__plain,14.130970150999985,0.9030222222222222,0.2837773643069797,0.8562,0.45575091857910155
,16,,,,,,,0.014355517710873185,,,1.8000475865873424,,development_base__cifar10__wrn28_2__s11__clean__plain,14.29062182499996,0.9117111111111111,0.25683805137210425,0.8782,0.3775233871459961
,17,,,,,,,0.01160433012552508,,,1.8527164608240128,,development_base__cifar10__wrn28_2__s11__clean__plain,14.075019832999999,0.9232666666666667,0.2251682238260905,0.895,0.324157926940918
,18,,,,,,,0.009064400256282757,,,1.908217616887255,,development_base__cifar10__wrn28_2__s11__clean__plain,14.05389599700004,0.9303777777777777,0.20181979226006402,0.9004,0.31340992050170896
,19,,,,,,,0.006775784314464718,,,1.92343942346898,,development_base__cifar10__wrn28_2__s11__clean__plain,14.09882201900001,0.9405777777777777,0.17369007703993056,0.8996,0.3079599105834961
,20,,,,,,,0.0047745751406263175,,,1.9190849567001516,,development_base__cifar10__wrn28_2__s11__clean__plain,14.13833749500003,0.9498222222222222,0.1486165686501397,0.9074,0.2866497299194336
,21,,,,,,,0.003092332998903411,,,1.8989156643775376,,development_base__cifar10__wrn28_2__s11__clean__plain,14.021368687999995,0.9585777777777778,0.1254868657959832,0.9138,0.2766733413696289
,22,,,,,,,0.0017555878527937166,,,inf,,development_base__cifar10__wrn28_2__s11__clean__plain,14.069059734999996,0.9644444444444444,0.10672069115108913,0.9148,0.27223741493225095
,23,,,,,,,0.000785420971784226,,,1.792641150172461,,development_base__cifar10__wrn28_2__s11__clean__plain,14.194617762999997,0.9703111111111111,0.0929362790107727,0.915,0.2611790596008301
,24,,,,,,,0.00019713246713805592,,,1.7342527322471142,,development_base__cifar10__wrn28_2__s11__clean__plain,14.225402123000094,0.9742666666666666,0.08367314571274652,0.9186,0.25507614669799805
