aum_auroc,aum_average_precision,aum_precision_at_noise,dataset,el2n_auroc,el2n_average_precision,el2n_precision_at_noise,forgetting_auroc,forgetting_average_precision,forgetting_precision_at_noise,mean_confidence_auroc,mean_confidence_average_precision,mean_confidence_precision_at_noise,mean_loss_auroc,mean_loss_average_precision,mean_loss_precision_at_noise,model,prevalence,random_auroc,random_average_precision,random_precision_at_noise,regime,run_id,seed
0.9941661805555555,0.9809793801977637,0.93,cifar10,0.9940047932098766,0.9797675212371577,0.9291111111111111,0.3146015385802469,0.17237211671952293,0.07655555555555556,0.9937995370370372,0.9796731493273958,0.9272222222222222,0.9933691574074074,0.9789521913112802,0.9263333333333333,resnet18,0.2,0.5019766327160493,0.2023522039853458,0.2008888888888889,symmetric,development_base__cifar10__resnet18__s11__symmetric__instrumented,11
0.9826842422839506,0.8720232172394652,0.8961111111111111,cifar10,0.992519287037037,0.9656491609010874,0.924,0.3573033024691359,0.17330486818672808,0.10111111111111111,0.9849961018518518,0.8936179442606889,0.9031111111111111,0.9640182978395062,0.7603616601542097,0.8181111111111111,resnet18,0.2,0.49566677777777773,0.19646344969835594,0.19533333333333333,class_conditional,development_base__cifar10__resnet18__s11__class_conditional__instrumented,11
0.9935121450617284,0.9790659395506585,0.9244444444444444,cifar10,0.9933937376543208,0.9782727218107852,0.9265555555555556,0.3146654320987654,0.17190435760201211,0.08322222222222223,0.9932751419753086,0.9780002930372086,0.9242222222222222,0.9927054598765432,0.9769584184356068,0.9224444444444444,resnet18,0.2,0.49718299999999993,0.19815334090315906,0.19577777777777777,symmetric,development_base__cifar10__resnet18__s23__symmetric__instrumented,23
0.983354549382716,0.8787562685173853,0.9042222222222223,cifar10,0.9926560709876543,0.9680416054396195,0.928,0.3588229305555556,0.17291121384503133,0.09755555555555556,0.9859877777777778,0.902503862900232,0.9102222222222223,0.9662698796296296,0.7723028808845623,0.8297777777777777,resnet18,0.2,0.49887187345679007,0.1992435516346553,0.1932222222222222,class_conditional,development_base__cifar10__resnet18__s23__class_conditional__instrumented,23
0.9940007175925926,0.9805185199107921,0.9281111111111111,cifar10,0.9938268703703703,0.9794349628860755,0.9307777777777778,0.31341473148148147,0.17281285849210085,0.08055555555555556,0.9936059104938271,0.9791935882839911,0.9276666666666666,0.9930999845679014,0.9784196722604387,0.9256666666666666,resnet18,0.2,0.49982554012345676,0.19973233583662517,0.19766666666666666,symmetric,development_base__cifar10__resnet18__s37__symmetric__instrumented,37
0.9833341651234568,0.8794261224322995,0.9026666666666666,cifar10,0.9925668858024692,0.9674171079141732,0.9262222222222222,0.35762558333333333,0.17360586582603554,0.09877777777777778,0.9853715648148149,0.8988905060123034,0.907,0.9655144722222222,0.7693615700595251,0.8267777777777777,resnet18,0.2,0.49828383333333337,0.20142975716733885,0.20144444444444445,class_conditional,development_base__cifar10__resnet18__s37__class_conditional__instrumented,37
0.9933199212962964,0.9785010343473206,0.9238888888888889,cifar10,0.9930979691358024,0.9772612948010684,0.9243333333333333,0.3025244969135803,0.17277501488447564,0.06666666666666667,0.9927932160493829,0.9765135664053686,0.9206666666666666,0.9924941342592593,0.9764312256910785,0.9202222222222223,wrn28_2,0.2,0.5027058765432099,0.20049949314276785,0.19966666666666666,symmetric,development_base__cifar10__wrn28_2__s11__symmetric__instrumented,11
0.9791862993827161,0.848863396984919,0.8804444444444445,cifar10,0.9902242932098764,0.9535596930953041,0.913,0.345639512345679,0.17240219263580078,0.08977777777777778,0.9789330401234568,0.8518717715901184,0.8784444444444445,0.9575270354938272,0.7296751552543218,0.7934444444444444,wrn28_2,0.2,0.5053789135802469,0.2035076446547596,0.20577777777777778,class_conditional,development_base__cifar10__wrn28_2__s11__class_conditional__instrumented,11
0.9929262391975309,0.9777666526772381,0.9227777777777778,cifar10,0.992692600308642,0.9762262314883684,0.9234444444444444,0.31070683641975305,0.17428531461540647,0.073,0.9925674598765433,0.9764020549984206,0.92,0.9922411064814816,0.9759460752007751,0.9205555555555556,wrn28_2,0.2,0.501658725308642,0.20162696684090414,0.20133333333333334,symmetric,development_base__cifar10__wrn28_2__s23__symmetric__instrumented,23
0.9787615339506173,0.8459161393077965,0.8844444444444445,cifar10,0.9898727870370371,0.9524423604136211,0.9133333333333333,0.3477911805555555,0.17259845299402837,0.08833333333333333,0.9785298688271604,0.848092303437394,0.8852222222222222,0.9584669814814816,0.7322011839446658,0.799,wrn28_2,0.2,0.4958660416666667,0.1987152079463023,0.1998888888888889,class_conditional,development_base__cifar10__wrn28_2__s23__class_conditional__instrumented,23
0.9929216620370371,0.9766141093643892,0.9215555555555556,cifar10,0.9926587037037038,0.9749495826291233,0.9214444444444444,0.3062294212962963,0.1737954811586598,0.06966666666666667,0.9924303796296295,0.9749281352044176,0.9203333333333333,0.9921446342592591,0.9747509951525326,0.9194444444444444,wrn28_2,0.2,0.5030288796296296,0.20221872617197023,0.20444444444444446,symmetric,development_base__cifar10__wrn28_2__s37__symmetric__instrumented,37
0.9780645185185185,0.8388206917765766,0.8806666666666667,cifar10,0.9894734598765431,0.9519336000234708,0.9102222222222223,0.3493521172839506,0.17318921685425948,0.09077777777777778,0.9774798024691358,0.8390848522071419,0.8768888888888889,0.9570706234567902,0.724339003305928,0.7911111111111111,wrn28_2,0.2,0.5045439722222222,0.20274863857819275,0.20722222222222222,class_conditional,development_base__cifar10__wrn28_2__s37__class_conditional__instrumented,37
